pop_id,group_name,group_id
1,Total population,Major racial groups
4,Black,Major racial groups
6,AIAN,Major racial groups
12,Asian alone ,Major racial groups
13,Asian Indian alone ,Asian Detail
14,Bangladeshi alone ,Asian Detail
15,Cambodian alone ,Asian Detail
16,Chinese alone ,Asian Detail
17,Chinese ,Asian Detail
18,Taiwanese alone ,Asian Detail
19,Filipino alone ,Asian Detail
20,Hmong alone ,Asian Detail
21,Indonesian alone ,Asian Detail
22,Japanese alone ,Asian Detail
23,Korean alone ,Asian Detail
24,Laotian alone ,Asian Detail
25,Malaysian alone ,Asian Detail
26,Pakistani alone ,Asian Detail
27,Sri Lankan alone ,Asian Detail
28,Thai alone ,Asian Detail
29,Vietnamese alone ,Asian Detail
31,Asian alone or combo,Major racial groups
32,Asian Indian alone or combo ,Asian Detail Combo
33,Bangladeshi alone or combo ,Asian Detail Combo
34,Cambodian alone or combo ,Asian Detail Combo
35,Chinese alone or combo ,Asian Detail Combo
36,Chinese ,Asian Detail Combo
37,Taiwanese alone or combo ,Asian Detail Combo
38,Filipino alone or combo ,Asian Detail Combo
39,Hmong alone or combo ,Asian Detail Combo
40,Indonesian alone or combo ,Asian Detail Combo
41,Japanese alone or combo ,Asian Detail Combo
42,Korean alone or combo ,Asian Detail Combo
43,Laotian alone or combo ,Asian Detail Combo
44,Malaysian alone or combo ,Asian Detail Combo
45,Pakistani alone or combo ,Asian Detail Combo
46,Sri Lankan alone or combo ,Asian Detail Combo
47,Thai alone or combo ,Asian Detail Combo
48,Vietnamese alone or combo ,Asian Detail Combo
50,NHPI alone,Major racial groups
51,Polynesian alone ,NHPI Detail
52,Native Hawaiian alone ,NHPI Detail
53,Samoan alone ,NHPI Detail
54,Tongan alone ,NHPI Detail
55,Micronesian alone ,NHPI Detail
56,Guamanian or Chamorro alone ,NHPI Detail
57,Melanesian alone ,NHPI Detail
58,Fijian alone ,NHPI Detail
60,NHPI alone or combo,NHPI Detail Combo
61,Polynesian alone or combo ,NHPI Detail Combo
62,Native Hawaiian alone or combo ,NHPI Detail Combo
63,Samoan alone or combo ,NHPI Detail Combo
64,Tongan alone or combo ,NHPI Detail Combo
65,Micronesian alone or combo ,NHPI Detail Combo
66,Guamanian or Chamorro alone or combo ,NHPI Detail Combo
67,Melanesian alone or combo ,NHPI Detail Combo
68,Fijian alone or combo ,NHPI Detail Combo
72,Bhutanese alone ,Asian Detail
73,Burmese alone ,Asian Detail
75,Mongolian alone ,Asian Detail
76,Nepalese alone ,Asian Detail
80,Bhutanese alone or combo ,Asian Detail Combo
81,Burmese alone or combo ,Asian Detail Combo
83,Mongolian alone or combo ,Asian Detail Combo
84,Nepalese alone or combo ,Asian Detail Combo
85,Okinawan alone or combo ,Asian Detail Combo
96,Marshallese alone ,NHPI Detail
176,Marshallese alone or combo ,NHPI Detail Combo
177,Palauan alone or combo ,NHPI Detail Combo
400,Hispanic or Latino ,Major racial groups
451,"White alone, not Hispanic",Major racial groups
